voted_for,gender,education,age
Biden,Male,4-year,60
Trump,Male,High school graduate,82
Biden,Female,Some college,60
Biden,Male,High school graduate,87
Biden,Female,Some college,57
Trump,Female,High school graduate,74
Trump,Male,4-year,50
Trump,Male,4-year,78
Biden,Female,Some college,62
Trump,Male,4-year,80
Biden,Male,4-year,70
Trump,Male,4-year,65
Biden,Male,4-year,61
Biden,Female,High school graduate,81
Biden,Male,4-year,63
Trump,Male,Some college,44
Trump,Female,High school graduate,89
Biden,Female,2-year,72
Biden,Male,4-year,73
Biden,Male,Some college,56
Biden,Female,4-year,29
Biden,Female,High school graduate,63
Biden,Male,2-year,57
Biden,Male,4-year,32
Biden,Female,2-year,50
Biden,Male,4-year,39
Trump,Male,No HS,61
Biden,Female,Post-grad,34
Trump,Male,Some college,58
Trump,Male,High school graduate,56
Trump,Female,2-year,30
Trump,Male,High school graduate,71
Trump,Female,High school graduate,62
Biden,Female,High school graduate,48
Biden,Male,4-year,49
Trump,Female,High school graduate,32
Biden,Male,4-year,34
Biden,Female,2-year,42
Biden,Female,Some college,40
Biden,Male,High school graduate,54
Trump,Female,No HS,59
Biden,Male,High school graduate,65
Biden,Male,High school graduate,63
Trump,Male,4-year,35
Biden,Female,High school graduate,78
Trump,Male,2-year,65
Trump,Female,High school graduate,71
Trump,Male,Post-grad,73
Trump,Female,Some college,78
Trump,Female,4-year,66
Biden,Male,Post-grad,34
Trump,Female,High school graduate,87
Trump,Female,2-year,38
Biden,Female,No HS,64
Biden,Female,Post-grad,34
Biden,Female,2-year,69
Biden,Male,No HS,56
Trump,Male,Some college,61
Trump,Female,High school graduate,37
Trump,Male,Post-grad,71
Biden,Female,Some college,32
Biden,Male,2-year,64
Biden,Male,High school graduate,26
Biden,Male,4-year,59
Trump,Female,4-year,27
Biden,Female,High school graduate,80
Trump,Female,Some college,30
Trump,Male,Some college,49
Biden,Female,Some college,23
Biden,Male,Post-grad,61
Trump,Female,Some college,66
Biden,Female,Post-grad,71
Trump,Female,High school graduate,58
Biden,Male,4-year,59
Trump,Male,4-year,78
Trump,Male,Post-grad,70
Trump,Female,Post-grad,64
Biden,Male,Some college,48
Trump,Male,4-year,71
Biden,Female,Some college,39
Biden,Male,Some college,42
Biden,Male,4-year,45
Trump,Female,4-year,68
Trump,Female,4-year,59
Trump,Male,2-year,58
Biden,Female,2-year,67
Trump,Female,4-year,60
Trump,Male,4-year,47
Biden,Female,2-year,28
Trump,Female,2-year,62
Biden,Female,Post-grad,60
Trump,Female,4-year,46
Biden,Male,Post-grad,76
Trump,Female,High school graduate,68
Trump,Male,High school graduate,69
Biden,Female,4-year,86
Biden,Female,Some college,53
Biden,Female,Some college,75
Biden,Female,4-year,46
Trump,Male,2-year,47
Biden,Male,2-year,22
Biden,Male,Post-grad,39
Biden,Female,4-year,25
Biden,Male,Post-grad,66
Biden,Female,Some college,45
Biden,Male,High school graduate,82
Biden,Female,2-year,60
Biden,Female,Some college,81
Biden,Male,4-year,75
Biden,Female,Post-grad,45
Biden,Female,4-year,73
Biden,Female,High school graduate,61
Trump,Female,No HS,63
Trump,Female,High school graduate,81
Biden,Female,2-year,63
Trump,Female,High school graduate,68
Trump,Female,Post-grad,73
Biden,Female,4-year,61
Biden,Female,Some college,57
Trump,Male,2-year,33
Biden,Female,Post-grad,71
Biden,Male,4-year,69
Trump,Male,2-year,56
Trump,Male,High school graduate,84
Biden,Male,Some college,51
Biden,Female,High school graduate,72
Trump,Male,4-year,69
Biden,Female,2-year,64
Biden,Female,High school graduate,42
Biden,Female,Some college,31
Biden,Female,Some college,64
Biden,Male,4-year,58
Biden,Female,Some college,50
Biden,Female,Post-grad,70
Trump,Male,2-year,57
Biden,Female,4-year,30
Trump,Male,Post-grad,50
Trump,Male,4-year,27
Trump,Female,Some college,55
Biden,Male,4-year,78
Biden,Female,4-year,76
Trump,Male,Post-grad,64
Biden,Female,Post-grad,73
Trump,Male,4-year,82
Trump,Female,2-year,43
Biden,Male,Some college,80
Biden,Female,Some college,59
Trump,Male,Post-grad,71
Trump,Male,2-year,75
Biden,Male,Some college,71
Biden,Female,2-year,39
Biden,Male,4-year,43
Biden,Female,Some college,55
Biden,Female,High school graduate,66
Trump,Female,2-year,71
Biden,Male,Some college,40
Trump,Male,High school graduate,57
Biden,Male,Post-grad,71
Biden,Male,4-year,75
Biden,Male,High school graduate,34
Trump,Male,High school graduate,67
Biden,Female,Some college,45
Trump,Female,High school graduate,58
Trump,Female,Some college,86
Biden,Female,Post-grad,29
Biden,Male,Some college,57
Trump,Male,High school graduate,63
Biden,Male,2-year,39
Trump,Male,4-year,87
Trump,Female,High school graduate,66
Biden,Female,4-year,70
Trump,Female,No HS,66
Trump,Male,Post-grad,83
Trump,Male,Some college,71
Trump,Male,Some college,75
Biden,Female,4-year,53
Trump,Male,Some college,52
Biden,Male,Some college,37
Biden,Male,4-year,81
Biden,Male,Post-grad,81
Trump,Male,4-year,72
Biden,Female,4-year,55
Biden,Male,4-year,66
Biden,Male,4-year,67
Trump,Male,High school graduate,76
Biden,Male,4-year,75
Biden,Male,4-year,48
Biden,Female,2-year,36
Trump,Male,4-year,60
Trump,Male,2-year,55
Trump,Male,2-year,81
Biden,Male,4-year,34
Biden,Female,Some college,51
Biden,Male,4-year,40
Biden,Female,Some college,60
Trump,Male,High school graduate,62
Biden,Female,4-year,46
Trump,Male,Some college,73
Trump,Male,Some college,64
Trump,Male,Some college,51
Biden,Female,4-year,85
Biden,Male,High school graduate,61
Trump,Female,4-year,59
Biden,Male,High school graduate,70
Trump,Male,2-year,43
Trump,Male,4-year,73
Trump,Male,4-year,68
Biden,Female,4-year,66
Trump,Male,Some college,81
Trump,Male,Some college,70
Biden,Female,Post-grad,71
Biden,Male,Some college,71
Biden,Male,Some college,70
Biden,Male,Some college,79
Biden,Male,4-year,49
Trump,Female,High school graduate,85
Biden,Male,Some college,59
Biden,Male,High school graduate,36
Trump,Male,Some college,57
Trump,Male,4-year,51
Biden,Female,2-year,60
Biden,Male,Post-grad,91
Biden,Female,Some college,63
Trump,Male,No HS,90
Biden,Male,4-year,43
Trump,Male,4-year,57
Biden,Female,Post-grad,78
Trump,Female,4-year,32
Biden,Female,2-year,52
Biden,Male,4-year,27
Biden,Male,4-year,32
Trump,Male,Post-grad,78
Biden,Female,Some college,22
Trump,Female,High school graduate,74
Biden,Male,Some college,65
Trump,Female,Some college,55
Biden,Female,High school graduate,39
Biden,Female,High school graduate,57
Biden,Male,High school graduate,57
Trump,Female,Some college,65
Biden,Female,Some college,24
Trump,Male,Post-grad,76
Biden,Female,4-year,29
Biden,Male,4-year,71
Biden,Male,Post-grad,73
Biden,Male,Post-grad,60
Trump,Male,Some college,72
Trump,Female,2-year,59
Trump,Female,2-year,60
Trump,Male,Some college,57
Biden,Male,Post-grad,61
Biden,Female,2-year,79
Trump,Male,Post-grad,70
Trump,Male,Post-grad,29
Biden,Male,Some college,52
Biden,Male,4-year,30
Trump,Male,High school graduate,65
Biden,Female,High school graduate,42
Biden,Female,Post-grad,62
Biden,Male,High school graduate,45
Trump,Male,Some college,75
Biden,Male,4-year,27
Trump,Male,4-year,70
Trump,Female,High school graduate,72
Biden,Female,Post-grad,80
Trump,Male,4-year,76
Trump,Female,Some college,60
Trump,Female,High school graduate,55
Trump,Female,High school graduate,68
Biden,Female,4-year,41
Biden,Male,4-year,88
Biden,Male,4-year,60
Trump,Male,2-year,53
Trump,Male,Post-grad,62
Biden,Male,4-year,70
Biden,Female,Post-grad,72
Trump,Male,4-year,85
Trump,Female,4-year,53
Biden,Female,Some college,66
Trump,Male,High school graduate,61
Trump,Female,Post-grad,68
Trump,Female,Some college,29
Biden,Male,Some college,59
Trump,Male,Some college,73
Biden,Male,4-year,73
Trump,Female,2-year,58
Trump,Male,Some college,48
Biden,Female,2-year,43
Biden,Female,4-year,39
Trump,Male,4-year,49
Biden,Male,Post-grad,63
Trump,Male,Some college,84
Biden,Female,2-year,46
Biden,Female,Post-grad,77
Trump,Female,Post-grad,71
Biden,Male,High school graduate,27
Biden,Male,Some college,25
Biden,Male,4-year,56
Biden,Male,Post-grad,56
Trump,Male,High school graduate,61
Biden,Female,High school graduate,65
Biden,Male,Some college,70
Trump,Female,Post-grad,59
Trump,Female,Some college,60
Trump,Female,4-year,45
Biden,Male,Some college,47
Trump,Female,Some college,23
Biden,Male,High school graduate,52
Trump,Male,4-year,66
Trump,Male,4-year,81
Biden,Female,Post-grad,31
Trump,Other,4-year,75
Biden,Female,4-year,77
Biden,Female,Post-grad,37
Trump,Male,High school graduate,57
